Year,Employees_Avg,Unemployees_Avg,Openings_Avg,Hires_Avg,Layoffs_Avg,Quit_Rate
2016,144331916.66666666,7751333.333333333,5855500.0,3.6916666666666678,1.2249999999999999,2.06
2017,146610416.66666666,6984666.666666667,6118500.0,3.725,1.2249999999999999,2.14
2018,148893666.66666666,6315250.0,7109166.666666667,3.8499999999999996,1.2166666666666666,2.25
2019,150905083.33333334,5999166.666666667,7153833.333333333,3.866666666666666,1.2083333333333333,2.33
2020,142161916.66666666,12949666.666666666,6349333.333333333,4.258333333333333,2.400000000000001,2.11
2021,146284333.33333334,8629916.666666666,9979416.666666666,4.341666666666667,0.9666666666666669,2.7
2022,152549166.66666666,5992666.666666667,11194750.0,4.2,0.9583333333333334,2.75
2023,155895250.0,6076833.333333333,9268000.0,3.758333333333334,1.0666666666666667,2.35
2024,157693833.33333334,6762166.666666667,7656666.666666667,3.416666666666666,1.0583333333333331,2.08
2025,158438916.66666666,7281727.272727273,7081666.666666667,3.3166666666666664,1.1166666666666665,2.0
2026,158731166.66666666,7266857.142857143,7245600.0,3.3200000000000003,1.08,1.94
