Year,January,February,March,April,May,June,July,August,September,October,November,December
2016,2.0,1.7,1.9,2.0,2.2,2.2,2.3,2.6,2.2,2.2,1.7,1.7
2017,2.2,1.7,2.0,2.1,2.2,2.3,2.4,2.7,2.3,2.2,1.8,1.8
2018,2.0,1.8,2.1,2.3,2.3,2.4,2.6,2.9,2.4,2.4,1.9,1.9
2019,2.3,2.0,2.2,2.3,2.4,2.5,2.8,2.9,2.4,2.3,1.9,1.9
2020,2.3,1.9,1.7,1.6,1.7,2.1,2.6,2.7,2.4,2.4,1.9,2.0
2021,2.3,1.9,2.3,2.8,2.6,2.9,3.1,3.5,3.1,2.8,2.6,2.5
2022,2.9,2.3,2.7,3.0,2.8,2.9,3.0,3.4,2.8,2.6,2.3,2.3
2023,2.5,2.1,2.2,2.4,2.6,2.5,2.6,2.9,2.4,2.3,1.9,1.8
2024,2.1,1.8,1.9,2.2,2.2,2.2,2.5,2.6,2.1,2.1,1.6,1.6
2025,2.0,1.6,2.0,2.0,2.2,2.2,2.3,2.5,2.0,1.9,1.6,1.7
2026,1.9,1.5,1.8,1.9,2.1,2.2,2.2,,,,,
