Rate,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
January,2,2.2,2,2.3,2.3,2.3,2.9,2.5,2.1,2,1.9
February,1.7,1.7,1.8,2,1.9,1.9,2.3,2.1,1.8,1.6,1.5
March,1.9,2,2.1,2.2,1.7,2.3,2.7,2.2,1.9,2,1.8
April,2,2.1,2.3,2.3,1.6,2.8,3,2.4,2.2,2,1.9
May,2.2,2.2,2.3,2.4,1.7,2.6,2.8,2.6,2.2,2.2,2.1
June,2.2,2.3,2.4,2.5,2.1,2.9,2.9,2.5,2.2,2.2,2.2
July,2.3,2.4,2.6,2.8,2.6,3.1,3,2.6,2.5,2.3,2.2
August,2.6,2.7,2.9,2.9,2.7,3.5,3.4,2.9,2.6,2.5,
September,2.2,2.3,2.4,2.4,2.4,3.1,2.8,2.4,2.1,2,
October,2.2,2.2,2.4,2.3,2.4,2.8,2.6,2.3,2.1,1.9,
November,1.7,1.8,1.9,1.9,1.9,2.6,2.3,1.9,1.6,1.6,
December,1.7,1.8,1.9,1.9,2,2.5,2.3,1.8,1.6,1.7,
TOTAL AVG,2.06,2.14,2.25,2.33,2.11,2.70,2.75,2.35,2.08,2.00,1.94
